"Rank","name","pop2021","pop2020","GrowthRate","area","Density"
"1","China","1444216.1070","1439323.7760","1.0034","9706961","147.7068"
"2","India","1393409.0380","1380004.3850","1.0097","3287590","415.6290"
"3","United States","332915.0730","331002.6510","1.0058","9372610","35.1092"
"4","Indonesia","276361.7830","273523.6150","1.0104","1904569","142.0928"
"5","Pakistan","225199.9370","220892.3400","1.0195","881912","245.5634"
"6","Brazil","213993.4370","212559.4170","1.0067","8515767","24.7834"
"7","Nigeria","211400.7080","206139.5890","1.0255","923768","217.5477"
"8","Bangladesh","166303.4980","164689.3830","1.0098","147570","1104.8734"
"9","Russia","145912.0250","145934.4620","0.9998","17098242","8.5314"
"10","Mexico","130262.2160","128932.7530","1.0103","1964375","64.9446"
"11","Japan","126050.8040","126476.4610","0.9966","377930","335.6714"
"12","Ethiopia","117876.2270","114963.5880","1.0253","1104300","101.4930"
"13","Philippines","111046.9130","109581.0780","1.0134","342353","315.8045"
"14","Egypt","104258.3270","102334.4040","1.0188","1002450","100.1427"
"15","Vietnam","98168.8330","97338.5790","1.0085","331212","291.2398"
"16","DR Congo","92377.9930","89561.4030","1.0314","2344858","37.0131"
"18","Turkey","85042.7380","84339.0670","1.0083","783562","106.4748"
"19","Iran","85028.7590","83992.9490","1.0123","1648195","50.3059"
"17","Germany","83900.4730","83783.9420","1.0014","357114","233.8666"
"20","Thailand","69950.8500","69799.9780","1.0022","513120","135.6906"
"21","United Kingdom","68207.1160","67886.0110","1.0047","242900","278.0164"
"22","France","65426.1790","65273.5110","1.0023","551695","118.0539"
"25","Tanzania","61498.4370","59734.2180","1.0295","945087","61.3758"
"23","Italy","60367.4770","60461.8260","0.9984","301336","200.9387"
"24","South Africa","60041.9940","59308.6900","1.0124","1221037","47.9578"
"27","Kenya","54985.6980","53771.2960","1.0226","580367","90.5875"
"26","Myanmar","54806.0120","54409.8000","1.0073","676578","79.8805"
"28","South Korea","51305.1860","51269.1850","1.0007","100210","511.1796"
"29","Colombia","51265.8440","50882.8910","1.0075","1141748","44.0898"
"32","Uganda","47123.5310","45741.0070","1.0302","241550","183.2730"
"30","Spain","46745.2160","46754.7780","0.9998","505992","92.3666"
"31","Argentina","45605.8260","45195.7740","1.0091","2780400","16.1058"
"35","Sudan","44909.3530","43849.2600","1.0242","1886068","22.6997"
"34","Algeria","44616.6240","43851.0440","1.0175","2381741","18.0763"
"33","Ukraine","43466.8190","43733.7620","0.9939","603500","72.8975"
"36","Iraq","41179.3500","40222.4930","1.0238","438317","89.6835"
"37","Afghanistan","39835.4280","38928.3460","1.0233","652230","58.3257"
"39","Canada","38067.9030","37742.1540","1.0086","9984670","3.7468"
"38","Poland","37797.0050","37846.6110","0.9987","312679","121.1715"
"40","Morocco","37344.7950","36910.5600","1.0118","446550","81.6745"
"41","Saudi Arabia","35340.6830","34813.8710","1.0151","2149690","15.9411"
"42","Uzbekistan","33935.7630","33469.2030","1.0139","447400","73.7186"
"45","Angola","33933.6100","32866.2720","1.0325","1246700","25.5276"
